DATES,GDP,TAX,G,TB3MS,CPI_PIQ4
1974,0.039920649,0.059960647,0.041625447,0.076166667,0.094535286
1974.25,0.036726914,0.069115151,0.046573178,0.081533333,0.100264091
1974.5,0.017966749,0.07057789,0.042406585,0.0819,0.108480643
1974.75,0.005478866,0.021234426,0.041223861,0.0736,0.113743279
1975,-0.013606721,-0.031227278,0.042658716,0.0575,0.10557191
1975.25,-0.013054932,-0.179899735,0.032506498,0.053933333,0.091120972
1975.5,-0.004596821,-0.042592046,0.037332848,0.0633,0.083221382
1975.75,0.00122282,-0.038624218,0.040790026,0.056266667,0.071235605
1976,0.015986832,-0.005526277,0.03796475,0.049166667,0.061482175
1976.25,0.016482631,-0.001062477,0.022661906,0.051566667,0.058410762
1976.5,0.014127487,0.002203681,0.007640738,0.0515,0.054390459
1976.75,0.014836332,-0.004507772,0.002498639,0.046733333,0.050569269
1977,0.019109594,0.015189642,0.005452159,0.0463,0.057357162
1977.25,0.02949382,0.031383613,0.00732141,0.0484,0.06575675
1977.5,0.037634945,0.027585804,0.00076701,0.054966667,0.06366554
1977.75,0.034644407,0.032442923,-0.002455184,0.0611,0.063857383
1978,0.028964485,0.034232943,-0.010510479,0.063933333,0.062742145
1978.25,0.058751437,0.077895771,0.003914858,0.064766667,0.067922385
1978.5,0.059882129,0.0946362,0.002147087,0.073133333,0.0771834
1978.75,0.065965297,0.107017525,0.0024644,0.0857,0.085530992
1979,0.059930587,0.115865564,-0.011220263,0.093833333,0.093337176
1979.25,0.053823405,0.108157698,-0.01311809,0.093766667,0.102149575
1979.5,0.053886016,0.105694437,-0.012458467,0.096733333,0.110853235
1979.75,0.048668968,0.098701472,-0.005301164,0.118433333,0.119044243
1980,0.043208711,0.098268485,0.004301801,0.133533333,0.132868842
1980.25,0.014958564,0.062514178,0.002836053,0.096166667,0.134756133
1980.5,0.005480532,0.06898302,-0.018337163,0.091533333,0.121645109
1980.75,0.015653074,0.086153542,-0.017210271,0.136133333,0.118123959
1981,0.028246895,0.126849539,-0.012534508,0.1439,0.106709247
1981.25,0.014673792,0.117705594,-0.015928299,0.149066667,0.094159709
1981.5,0.017661131,0.118496008,-0.031589395,0.150533333,0.103035026
1981.75,-0.001001463,0.076678165,-0.020621204,0.1175,0.091513628
1982,-0.024465662,0.045574429,-0.027477551,0.128133333,0.073078524
1982.25,-0.026564812,0.03622824,-0.026336921,0.1242,0.066787198
1982.5,-0.037447608,-0.001617879,-0.027774345,0.093166667,0.05653603
1982.75,-0.043734851,-0.016158427,-0.013605317,0.079066667,0.043477548
1983,-0.038195353,-0.020529603,-0.012714405,0.081066667,0.035310003
1983.25,-0.022703601,0.005547439,-0.009173373,0.083966667,0.032464836
1983.5,-0.010753892,-0.021590242,-0.000176316,0.0914,0.024950721
1983.75,0.00238363,-0.010877146,-0.024648514,0.088,0.031823151
1984,0.01537335,0.02084545,-0.013171467,0.0917,0.04522047
1984.25,0.025315722,0.023260112,0.003165128,0.097966667,0.043105867
1984.5,0.027513746,0.01699891,0.004896092,0.1032,0.042059989
1984.75,0.028490032,0.023982448,0.018388177,0.088033333,0.040703293
1985,0.031168369,0.075072734,0.023816489,0.081833333,0.035763709
1985.25,0.033678032,0.014465964,0.039051413,0.0746,0.035435533
1985.5,0.040913051,0.049746058,0.05464551,0.071066667,0.032975197
1985.75,0.041257549,0.046220457,0.055294782,0.071666667,0.034534463
1986,0.04350395,0.047758057,0.053123776,0.068966667,0.030581534
1986.25,0.041237759,0.040599598,0.066063008,0.0614,0.0166465
1986.5,0.04313494,0.045638463,0.082651344,0.055233333,0.016544495
1986.75,0.040422155,0.061834536,0.072187147,0.053533333,0.013365934
1987,0.041810126,0.052974782,0.073511279,0.055366667,0.020178369
1987.25,0.046008411,0.11746213,0.077643536,0.056566667,0.036323969
1987.5,0.047407706,0.093112772,0.074524689,0.060433333,0.040785531
1987.75,0.056762386,0.093692322,0.077533763,0.058633333,0.04311267
1988,0.055447665,0.098695006,0.066692719,0.057233333,0.038888104
1988.25,0.061217531,0.090824931,0.063750797,0.0621,0.039027933
1988.5,0.059060709,0.087782888,0.052251712,0.0701,0.040588595
1988.75,0.064150022,0.093014009,0.062897982,0.077266667,0.042162137
1989,0.067962324,0.119395671,0.056156222,0.0854,0.0456854
1989.25,0.068327564,0.101646646,0.065370701,0.0841,0.050314647
1989.5,0.067894559,0.09855524,0.067336002,0.078433333,0.045985113
1989.75,0.062556572,0.095109784,0.067335351,0.076533333,0.045234523
1990,0.066046272,0.083315662,0.078257079,0.0776,0.051005582
1990.25,0.061807944,0.079733588,0.072809381,0.077466667,0.04481509
1990.5,0.053411578,0.07623402,0.065982294,0.074766667,0.054151699
